time,q1,q2,q3,q4,q5,q6,ph_x,ph_y,ph_z,h,n_c,frameId,d,vr,vh
0.002,-1.1314e-10,-1.5708,1.5708,1.1314e-10,-7.54267e-11,7.54267e-11,1,0.2,0.65,0.27759,1,53,0.429595,0,0.0133616
0.004,-2.33017e-06,-1.5708,1.5708,2.33017e-06,-1.55345e-06,1.55345e-06,1,0.200377,0.65,0.277569,0,53,0.429732,3.30427e-08,0.0144199
0.006,-9.26922e-06,-1.5708,1.5708,9.26922e-06,-6.17948e-06,6.17948e-06,0.999999,0.200754,0.65,0.277636,0,53,0.429703,0.000681686,0.0144906
0.008,-2.07159e-05,-1.57081,1.57081,2.07159e-05,-1.38106e-05,1.38106e-05,0.999998,0.201131,0.65,0.277702,0,53,0.429675,0.00135096,0.0145602
0.01,-3.65692e-05,-1.57082,1.57082,3.65692e-05,-2.43795e-05,2.43795e-05,0.999996,0.201508,0.65,0.277768,0,53,0.429649,0.00200781,0.0146285
0.012,-5.67295e-05,-1.57083,1.57083,5.67295e-05,-3.78196e-05,3.78196e-05,0.999994,0.201885,0.65,0.277833,0,53,0.429624,0.00265234,0.0146957
0.014,-8.10979e-05,-1.57085,1.57085,8.10979e-05,-5.40653e-05,5.40653e-05,0.999991,0.202262,0.65,0.277898,0,53,0.4296,0.00328469,0.0147618
0.016,-0.000109577,-1.57087,1.57087,0.000109577,-7.30513e-05,7.30513e-05,0.999988,0.202639,0.65,0.277962,0,53,0.429577,0.00390497,0.0148268
0.018,-0.00014207,-1.57089,1.57089,0.00014207,-9.47134e-05,9.47134e-05,0.999985,0.203016,0.65,0.278026,0,53,0.429555,0.00451327,0.0148907
0.02,-0.000178482,-1.57092,1.57092,0.000178482,-0.000118988,0.000118988,0.999981,0.203393,0.65,0.278089,0,53,0.429535,0.00510972,0.0149535
0.022,-0.000218717,-1.57094,1.57094,0.000218717,-0.000145811,0.000145811,0.999976,0.20377,0.65,0.278151,0,53,0.429515,0.00569442,0.0150154
0.024,-0.000262683,-1.57097,1.57097,0.000262683,-0.000175122,0.000175122,0.999971,0.204147,0.65,0.278213,0,53,0.429496,0.00626745,0.0150762
0.026,-0.000310288,-1.571,1.571,0.000310288,-0.000206858,0.000206858,0.999966,0.204524,0.65,0.278274,0,53,0.429479,0.00682894,0.0151361
0.028,-0.000361439,-1.57104,1.57104,0.000361439,-0.000240959,0.000240959,0.99996,0.204901,0.65,0.278335,0,53,0.429462,0.00737896,0.015195
0.03,-0.000416046,-1.57107,1.57107,0.000416046,-0.000277364,0.000277364,0.999954,0.205278,0.65,0.278395,0,53,0.429447,0.0079176,0.015253
0.032,-0.00047402,-1.57111,1.57111,0.00047402,-0.000316013,0.000316013,0.999947,0.205655,0.65,0.278454,0,53,0.429432,0.00844497,0.0153102
0.034,-0.000535272,-1.57115,1.57115,0.000535272,-0.000356848,0.000356848,0.999939,0.206031,0.65,0.278513,0,53,0.429418,0.00896114,0.0153664
0.036,-0.000599716,-1.5712,1.5712,0.000599716,-0.000399811,0.000399811,0.999932,0.206408,0.65,0.27857,0,53,0.429405,0.0094662,0.0154218
0.038,-0.000667264,-1.57124,1.57124,0.000667264,-0.000444842,0.000444842,0.999923,0.206785,0.65,0.278628,0,53,0.429394,0.00996023,0.0154764
0.04,-0.00073783,-1.57129,1.57129,0.00073783,-0.000491887,0.000491887,0.999914,0.207162,0.65,0.278684,0,53,0.429382,0.0104433,0.0155302
0.042,-0.000811331,-1.57134,1.57134,0.000811331,-0.000540887,0.000540887,0.999905,0.207539,0.65,0.27874,0,53,0.429372,0.0109155,0.0155833
0.044,-0.000887682,-1.57139,1.57139,0.000887682,-0.000591788,0.000591788,0.999896,0.207916,0.65,0.278795,0,53,0.429363,0.0113769,0.0156356
0.046,-0.000966801,-1.57144,1.57144,0.000966801,-0.000644534,0.000644534,0.999885,0.208293,0.65,0.278849,0,53,0.429354,0.0118276,0.0156871
0.048,-0.00104861,-1.5715,1.5715,0.00104861,-0.00069907,0.00069907,0.999875,0.208669,0.65,0.278903,0,53,0.429346,0.0122676,0.015738
0.05,-0.00113301,-1.57155,1.57155,0.00113301,-0.000755343,0.000755343,0.999864,0.209046,0.65,0.278956,0,53,0.429339,0.012697,0.0157882
0.052,-0.00121995,-1.57161,1.57161,0.00121995,-0.000813299,0.000813299,0.999852,0.209423,0.65,0.279008,0,53,0.429333,0.013116,0.0158377
0.054,-0.00130933,-1.57167,1.57167,0.00130933,-0.000872885,0.000872885,0.99984,0.2098,0.65,0.279059,0,53,0.429328,0.0135244,0.0158866
0.056,-0.00140107,-1.57173,1.57173,0.00140107,-0.000934049,0.000934049,0.999827,0.210177,0.65,0.27911,0,53,0.429323,0.0139225,0.0159348
0.058,-0.00149511,-1.57179,1.57179,0.00149511,-0.00099674,0.00099674,0.999814,0.210553,0.65,0.279159,0,53,0.429319,0.0143103,0.0159825
0.06,-0.00159136,-1.57186,1.57186,0.00159136,-0.00106091,0.00106091,0.999801,0.21093,0.65,0.279192,0,54,0.431043,0.0128125,0.0260383
0.062,-0.00168974,-1.57192,1.57192,0.00168974,-0.0011265,0.0011265,0.999787,0.211307,0.65,0.279211,0,54,0.431016,0.0131377,0.0260857
0.064,-0.00179019,-1.57199,1.57199,0.00179019,-0.00119346,0.00119346,0.999772,0.211683,0.65,0.279229,0,54,0.43099,0.0134543,0.0261325
0.066,-0.00189263,-1.57206,1.57206,0.00189263,-0.00126175,0.00126175,0.999757,0.21206,0.65,0.279246,0,54,0.430964,0.0137622,0.0261788
0.068,-0.00199698,-1.57213,1.57213,0.00199698,-0.00133132,0.00133132,0.999742,0.212437,0.65,0.279262,0,54,0.430939,0.0140617,0.0262246
0.07,-0.00210317,-1.5722,1.5722,0.00210317,-0.00140212,0.00140212,0.999726,0.212813,0.65,0.279278,0,54,0.430915,0.0143527,0.0262699
0.072,-0.00221114,-1.57227,1.57227,0.00221114,-0.00147409,0.00147409,0.99971,0.21319,0.65,0.279293,0,54,0.430891,0.0146352,0.0263148
0.074,-0.0023208,-1.57234,1.57234,0.0023208,-0.0015472,0.0015472,0.999693,0.213567,0.65,0.279307,0,54,0.430867,0.0149092,0.0263592
0.076,-0.0024321,-1.57242,1.57242,0.0024321,-0.0016214,0.0016214,0.999676,0.213943,0.65,0.27932,0,54,0.430844,0.0151749,0.0264031
0.078,-0.00254495,-1.57249,1.57249,0.00254495,-0.00169663,0.00169663,0.999658,0.21432,0.65,0.279332,0,54,0.430821,0.0154322,0.0264467
0.08,-0.0026593,-1.57257,1.57257,0.0026593,-0.00177287,0.00177287,0.99964,0.214696,0.65,0.279344,0,54,0.430799,0.0156812,0.0264898
0.082,-0.00277507,-1.57265,1.57265,0.00277507,-0.00185005,0.00185005,0.999621,0.215072,0.65,0.279354,0,54,0.430777,0.015922,0.0265326
0.084,-0.0028922,-1.57272,1.57272,0.0028922,-0.00192813,0.00192813,0.999602,0.215449,0.65,0.279364,0,54,0.430756,0.0161544,0.026575
0.086,-0.00301062,-1.5728,1.5728,0.00301062,-0.00200708,0.00200708,0.999582,0.215825,0.65,0.279373,0,54,0.430735,0.0163787,0.0266171
